#{"t_start": 1672841643.1367772, "env_id": null}
r,l,t
34,45,298.122889
52,67,299.254481
52,67,300.377529
52,67,301.5041
52,67,302.631383
24,39,303.299019
24,39,303.964947
24,39,304.635507
2,13,304.881465
24,39,305.551534
24,39,306.218668
53,68,307.362273
52,67,308.498576
31,42,309.211543
24,39,309.881925
30,41,310.58462
24,39,311.259007
52,67,312.38912
31,42,313.108527
24,39,313.773575
29,40,314.463079
24,39,315.136499
25,36,315.760034
30,41,316.456513
53,68,317.597932
24,39,318.269853
52,67,319.397441
28,39,320.069194
54,69,321.248881
24,39,321.91669
29,40,322.603175
24,39,323.266669
24,39,323.946467
24,39,324.62219
24,39,325.293829
24,39,325.960037
33,44,326.710094
24,39,327.380971
28,39,328.046459
54,69,329.209905
52,67,330.339037
24,39,331.013449
53,68,332.158747
52,67,333.29339
52,67,334.421695
-1,14,334.680767
31,42,335.403761
54,69,336.563188
52,67,337.697225
54,69,338.854021
24,39,339.517563
54,69,340.675432
24,39,341.347559
52,67,342.475576
52,67,343.597024
28,39,344.262534
32,43,344.999895
28,39,345.670752
28,39,346.344263
29,40,347.031951
122,133,349.251907
52,67,350.387432
52,67,351.513979
40,51,352.381293
24,39,353.047649
52,67,354.174142
52,67,355.305792
29,40,355.995274
24,39,356.668783
28,39,357.346266
24,39,358.012806
25,36,358.630615
52,67,359.764523
31,42,360.475567
35,46,361.259075
24,39,361.930271
24,39,362.597408
29,40,363.286638
33,44,364.034201
54,69,365.191951
54,69,366.360646
24,39,367.029367
24,35,367.630131
54,69,368.794745
33,44,369.554606
53,68,370.696362
52,67,371.823559
24,39,372.496621
53,68,373.646593
53,68,374.786355
54,69,375.946433
28,39,376.613216
53,68,377.7635
52,67,378.88667
54,69,380.041623
53,68,381.188756
28,39,381.863382
28,39,382.534438
24,39,383.205844
31,42,383.928468
24,39,384.59727
24,39,385.267587
29,40,385.947441
24,39,386.619786
28,39,387.287718
24,39,387.955338
36,47,388.746406
29,40,389.432958
29,40,390.129907
24,39,390.805855
30,41,391.509832
54,69,392.676633
29,40,393.367641
24,39,394.041732
28,39,394.712122
53,68,395.853537
29,40,396.54285
52,67,397.670231
29,40,398.354471
24,39,399.021478
52,67,400.143255
24,39,400.811243
52,67,401.945323
52,67,403.072787
28,39,403.7378
31,42,404.459156
30,41,405.162975
54,69,406.330684
24,39,406.996601
36,47,407.795507
52,67,408.918851
24,39,409.58457
30,41,410.289777
54,69,411.447119
38,49,412.280766
52,67,413.413308
53,68,414.557446
32,43,415.295285
31,42,416.016361
54,69,417.174204
