#{"t_start": 1672841643.1367772, "env_id": null}
r,l,t
54,69,4184.982454
90,103,4188.5876
54,69,4191.014742
1,12,4191.448183
36,47,4193.097114
28,39,4194.513503
54,69,4196.915648
24,39,4198.279756
30,41,4199.664522
24,39,4201.048381
34,49,4202.679168
29,40,4204.076906
54,69,4206.464538
24,39,4207.879323
54,69,4210.231568
24,39,4211.59892
54,69,4213.915059
28,39,4215.312819
53,68,4217.635351
53,68,4220.001517
24,39,4221.449596
54,69,4223.796526
54,69,4226.182006
52,67,4228.505213
53,68,4230.836673
54,69,4233.258661
30,41,4234.666549
24,39,4236.074015
114,131,4240.623774
24,39,4242.007327
28,39,4243.317976
53,68,4245.659598
54,69,4248.121405
57,70,4250.435041
67,80,4253.239627
174,193,4259.856664
53,68,4262.148663
24,35,4263.411693
36,47,4265.077812
36,47,4266.744464
27,38,4268.070475
34,45,4269.622851
53,68,4272.004299
29,40,4273.410876
53,68,4275.776399
91,104,4279.380296
29,40,4280.819941
54,69,4283.254246
28,39,4284.577999
53,68,4286.947498
31,42,4288.408268
53,68,4290.735002
53,68,4293.144975
31,42,4294.591141
26,37,4295.941024
52,67,4298.166514
24,39,4299.611609
29,40,4301.062966
24,35,4302.30901
54,69,4304.660475
53,68,4306.968735
31,42,4308.485675
24,39,4309.813209
53,68,4312.142025
91,104,4315.763989
31,42,4317.282774
39,48,4318.925189
53,68,4321.212452
33,44,4322.734493
63,76,4325.404585
29,40,4326.804628
24,39,4328.177427
24,39,4329.464371
28,39,4330.835087
54,69,4333.217485
114,131,4337.674894
33,44,4339.258501
28,39,4340.638251
53,68,4342.974648
34,45,4344.524642
29,40,4345.902826
30,41,4347.300751
54,69,4349.69322
24,35,4350.857233
24,39,4352.246502
30,41,4353.64859
29,40,4355.086923
95,108,4358.803564
113,130,4363.269613
33,44,4364.845169
24,39,4366.256926
29,40,4367.655959
26,37,4368.905597
53,68,4371.311238
31,42,4372.735626
53,68,4375.107687
53,68,4377.415213
36,47,4379.110781
29,40,4380.461729
31,42,4381.93056
29,40,4383.352005
24,35,4384.562016
24,39,4385.985097
89,102,4389.520375
29,40,4390.910871
24,39,4392.290688
30,41,4393.795706
29,40,4395.221954
53,68,4397.574772
53,68,4399.966855
29,40,4401.355287
85,102,4404.736971
35,46,4406.334297
92,105,4409.878028
28,39,4411.283934
54,69,4413.624368
52,67,4415.987944
52,67,4418.318322
31,42,4419.798332
28,39,4421.194578
30,41,4422.633627
24,39,4423.989243
54,69,4426.322742
52,67,4428.599735
52,67,4430.875414
42,53,4432.824676
28,39,4434.12468
24,39,4435.507853
24,39,4436.858729
24,39,4438.266958
24,39,4439.632962
35,46,4441.266079
52,67,4443.534772
54,69,4445.98596
-2,17,4446.584663
53,68,4448.883758
30,41,4450.276899
24,39,4451.702816
35,46,4453.379982
53,68,4455.723907
27,38,4457.009633
53,68,4459.403373
54,69,4461.792134
30,41,4463.243745
54,69,4465.625957
24,39,4467.014156
32,43,4468.436697
54,69,4470.826494
89,102,4474.30514
28,39,4475.683918
102,119,4479.680918
28,39,4481.009869
26,37,4482.359845
128,143,4487.206849
53,68,4489.553481
52,67,4491.947549
27,38,4493.332206
54,69,4495.726678
34,49,4497.400789
145,164,4503.02326
33,44,4504.467449
28,39,4505.879629
29,40,4507.273138
26,37,4508.529247
29,40,4509.883617
54,69,4512.277344
24,39,4513.641625
33,44,4515.123563
65,86,4518.069984
26,37,4519.328907
47,56,4521.271447
54,69,4523.579363
31,42,4525.139998
53,68,4527.56692
114,127,4531.861506
54,69,4534.287586
95,108,4538.011884
24,35,4539.201126
28,39,4540.600034
52,67,4542.842408
55,64,4545.05969
26,37,4546.377263
52,67,4548.730668
34,45,4550.309522
36,47,4551.911132
114,131,4556.4203
62,75,4558.963121
41,50,4560.737157
29,40,4562.129544
33,42,4563.66041
37,46,4565.27951
54,69,4567.589569
54,69,4570.055375
31,42,4571.539052
24,39,4572.897608
53,68,4575.241066
30,41,4576.651436
34,45,4578.224967
42,51,4580.022483
29,40,4581.415372
44,55,4583.393664
31,42,4584.881971
52,67,4587.144759
27,38,4588.451434
31,42,4589.904633
29,40,4591.296569
52,67,4593.602489
26,37,4594.85116
54,69,4597.243214
58,67,4599.585071
52,67,4601.933952
35,46,4603.525884
24,35,4604.751441
30,41,4606.169585
103,124,4610.469498
24,39,4611.813259
101,118,4615.748898
31,42,4617.270932
113,130,4621.69985
33,44,4623.259321
30,41,4624.752615
33,44,4626.29879
24,35,4627.448855
24,39,4628.781967
32,43,4630.300739
34,49,4631.99293
28,39,4633.384997
54,69,4635.718969
53,68,4638.141226
29,40,4639.568673
28,39,4640.948515
65,86,4643.900936
48,59,4646.019399
27,38,4647.379586
38,49,4649.026443
53,68,4651.405563
52,67,4653.640012
29,40,4655.095471
54,69,4657.42417
31,42,4658.891746
28,39,4660.290551
46,55,4662.255804
28,39,4663.630293
52,67,4665.86823
31,42,4667.351523
30,41,4668.793512
53,68,4671.153987
24,39,4672.575787
28,39,4673.978875
28,39,4675.282488
28,39,4676.659899
95,108,4680.447107
52,67,4682.71697
29,40,4684.094703
52,67,4686.434854
66,75,4688.956611
24,39,4690.368008
91,104,4693.931162
54,69,4696.350748
29,40,4697.769805
90,103,4701.287442
35,46,4702.928852
30,41,4704.313899
35,46,4705.892061
53,68,4708.276631
35,46,4709.956223
110,127,4714.390492
113,128,4718.729228
52,67,4720.991105
54,69,4723.476224
53,68,4725.810914
24,39,4727.101284
160,175,4733.21795
78,95,4736.532434
24,35,4737.781123
24,39,4739.105854
53,68,4741.48532
53,68,4743.840403
31,42,4745.384772
25,36,4746.633759
29,40,4748.011344
26,37,4749.282407
54,69,4751.618625
24,39,4752.996901
30,41,4754.395811
28,39,4755.772066
28,39,4757.153223
28,39,4758.474602
29,40,4759.854929
96,117,4763.74562
94,111,4767.587525
90,103,4771.012614
32,43,4772.555215
32,43,4774.063612
54,69,4776.389278
33,48,4778.054171
31,42,4779.711677
104,117,4784.154492
36,47,4785.838629
57,74,4788.358584
88,101,4791.98192
152,167,4797.906201
33,44,4799.445412
91,104,4803.159999
25,36,4804.519634
95,108,4808.364104
26,37,4809.669987
25,36,4810.977243
40,49,4812.849234
24,39,4814.218628
120,135,4819.152437
127,138,4824.007052
85,102,4827.667888
54,69,4830.173848
30,41,4831.739171
29,40,4833.176304
96,109,4837.059129
24,39,4838.474527
31,42,4839.968346
31,42,4841.498665
54,69,4843.898015
53,68,4846.299825
177,190,4852.820059
37,48,4854.416171
31,42,4855.920576
96,109,4859.677885
29,40,4861.048702
53,68,4863.388495
54,69,4865.734243
94,107,4869.476404
28,39,4870.810586
54,69,4873.126298
54,69,4875.516883
48,57,4877.621046
52,67,4879.924377
17,28,4880.9594
109,130,4885.450693
53,68,4887.784484
54,69,4890.146997
52,67,4892.47768
50,63,4894.676764
95,108,4898.390485
53,68,4900.77094
101,114,4904.713879
31,46,4906.331186
52,67,4908.631363
27,38,4910.026484
24,39,4911.422007
39,50,4913.115966
91,104,4916.740058
28,39,4918.120474
30,41,4919.548868
98,111,4923.39159
30,41,4924.795763
31,42,4926.317198
52,67,4928.607897
34,45,4930.18285
98,115,4934.133793
54,69,4936.586778
53,68,4938.985383
89,106,4942.593532
106,119,4946.757106
35,46,4948.310226
53,68,4950.626285
25,36,4951.914394
30,41,4953.44802
69,82,4956.272288
26,37,4957.570639
45,56,4959.509382
28,39,4960.984488
31,42,4962.470388
39,50,4964.17873
93,106,4967.903001
29,40,4969.331804
53,68,4971.696966
32,43,4973.141031
26,37,4974.481566
52,67,4976.73736
38,49,4978.569404
53,68,4980.927889
24,35,4982.0953
94,107,4985.879703
27,38,4987.296246
31,42,4988.729897
101,114,4992.771899
26,37,4994.105704
23,38,4995.394804
76,83,4998.312246
35,46,4999.952545
24,39,5001.27335
6,21,5002.075333
30,41,5003.501421
39,50,5005.200682
28,39,5006.630425
33,44,5008.199755
24,39,5009.612369
24,39,5010.970119
24,39,5012.310019
102,123,5016.573573
58,71,5019.067288
48,59,5021.148354
54,69,5023.51166
26,45,5025.030953
24,39,5026.419213
91,104,5029.909861
28,39,5031.290774
90,103,5034.812299
53,68,5037.058099
71,84,5039.86532
30,41,5041.362893
24,39,5042.684287
53,68,5045.049565
30,41,5046.521662
31,42,5048.009292
42,53,5049.826208
30,41,5051.325275
37,48,5053.038892
46,55,5054.912241
33,44,5056.453068
29,40,5057.803326
86,99,5061.191424
52,67,5063.51535
29,40,5064.910322
29,40,5066.350863
91,104,5069.847414
26,37,5071.153821
53,68,5073.504855
33,44,5075.039271
24,39,5076.470919
85,102,5080.014083
34,45,5081.610256
28,39,5082.914033
31,42,5084.414869
53,68,5086.826156
89,102,5090.322829
85,102,5093.866682
29,40,5095.259182
24,39,5096.605681
108,125,5100.865803
29,40,5102.235566
32,43,5103.789455
31,42,5105.267264
28,39,5106.658809
52,67,5108.96981
21,44,5110.490003
68,81,5113.191099
53,68,5115.568397
31,42,5116.993555
94,107,5120.642415
29,40,5122.038105
33,44,5123.589871
54,69,5125.985329
89,102,5129.531277
33,48,5131.236486
29,40,5132.678723
36,47,5134.315952
113,130,5138.743013
33,44,5140.336166
28,39,5141.68302
24,35,5142.941402
1,12,5143.393012
156,171,5149.255052
96,113,5153.40116
28,39,5154.744565
28,39,5156.202955
24,39,5157.676098
71,84,5160.671843
70,83,5163.714911
54,69,5166.199645
24,39,5167.625569
30,41,5169.130003
53,68,5171.607228
12,35,5172.862963
32,43,5174.380123
31,42,5175.965992
39,50,5177.702365
113,130,5182.327839
109,130,5186.940428
31,46,5188.673659
90,103,5192.22892
31,42,5193.675833
91,104,5197.296075
42,53,5199.160026
53,68,5201.466829
53,68,5203.862139
37,48,5205.581846
90,103,5209.137857
54,69,5211.519502
52,67,5213.801347
114,131,5218.342834
30,41,5219.766316
89,102,5223.345582
52,67,5225.591717
53,68,5227.963043
31,42,5229.502551
90,103,5233.000414
30,41,5234.460643
115,132,5239.05775
31,42,5240.540394
71,80,5243.32255
28,39,5244.684258
85,102,5248.265207
49,58,5250.159647
24,39,5251.549881
29,40,5253.015805
168,183,5259.409334
28,39,5260.779793
30,41,5262.309069
28,39,5263.665771
29,40,5265.134278
41,52,5266.967302
26,37,5268.336208
77,94,5271.60653
30,41,5273.025946
119,132,5277.701182
122,133,5282.355833
91,104,5285.944586
36,47,5287.622179
100,113,5291.681056
31,42,5293.116967
52,67,5295.483124
40,51,5297.412564
1,12,5297.871996
29,40,5299.308978
53,68,5301.698407
53,68,5304.101289
94,107,5307.889149
29,40,5309.297276
28,39,5310.705997
29,40,5312.190356
10,21,5312.964492
12,23,5313.798075
90,107,5317.558989
31,42,5319.037495
63,72,5321.571944
28,39,5323.010147
54,69,5325.363195
89,102,5329.006689
115,126,5333.429241
102,115,5337.522613
54,69,5340.028987
91,104,5343.672079
35,46,5345.37707
91,104,5349.008694
95,108,5352.779953
90,111,5356.736238
54,69,5359.137883
91,104,5362.773394
53,68,5365.17346
94,107,5369.016681
29,40,5370.479134
43,54,5372.389974
115,132,5377.068043
115,132,5381.72176
94,107,5385.526178
54,69,5387.889328
24,39,5389.251329
32,43,5390.81396
41,52,5392.665434
53,68,5395.100383
91,104,5398.809144
62,75,5401.449645
35,46,5403.088576
24,35,5404.389384
114,131,5408.913525
66,75,5411.63735
69,86,5414.712657
32,43,5416.185298
52,67,5418.604258
26,37,5419.947507
10,21,5420.753006
53,68,5423.190106
30,41,5424.604407
33,44,5426.2515
29,40,5427.685762
24,39,5429.081444
26,37,5430.414351
24,39,5431.920373
53,68,5434.289107
40,51,5436.125124
90,103,5439.832052
24,39,5441.275961
24,39,5442.696635
29,40,5444.133412
26,37,5445.421843
24,39,5446.867876
24,39,5448.172579
38,49,5449.941362
105,118,5454.087689
28,39,5455.503816
26,37,5456.776565
28,39,5458.116407
90,103,5461.705728
28,39,5463.019101
29,40,5464.458405
29,40,5465.790479
25,36,5467.058455
41,52,5468.85252
53,68,5471.190737
90,103,5474.726012
25,36,5475.982879
54,69,5478.328276
93,106,5482.053582
8,23,5482.895671
25,36,5484.085699
91,104,5487.744021
12,23,5488.493327
12,23,5489.308597
161,176,5495.266444
60,69,5497.655631
52,67,5499.913863
53,68,5502.271268
53,68,5504.711563
29,40,5506.120104
54,69,5508.466064
52,67,5510.752671
54,69,5513.146891
30,41,5514.670799
53,68,5517.009778
90,103,5520.566327
90,103,5524.117497
102,115,5528.092033
94,107,5531.856778
24,35,5533.026762
30,41,5534.537537
36,47,5536.104613
69,78,5538.853274
27,38,5540.167783
28,39,5541.526544
52,67,5543.940661
32,43,5545.492099
28,39,5546.771657
53,68,5549.194926
106,127,5553.598353
29,40,5555.008417
31,42,5556.543249
52,67,5558.784457
28,39,5560.176751
33,44,5561.742587
32,43,5563.276032
24,39,5564.654452
82,95,5567.950732
96,109,5571.729297
66,75,5574.29904
54,69,5576.673865
37,48,5578.390398
53,68,5580.748667
28,39,5582.081832
62,71,5584.578981
54,69,5587.010606
11,22,5587.824012
27,38,5589.143511
99,112,5593.072534
94,107,5596.791981
31,42,5598.303062
28,39,5599.641088
99,112,5603.426912
93,106,5607.184268
10,21,5607.921834
27,38,5609.284425
151,174,5615.220946
66,75,5617.848406
24,35,5619.085628
52,67,5621.332146
29,40,5622.780213
52,67,5625.190755
33,44,5626.704371
41,50,5628.51661
89,106,5632.181841
25,36,5633.428556
56,69,5635.775038
24,35,5637.057585
62,75,5639.673235
32,43,5641.24812
51,62,5643.370775
30,41,5644.801647
30,41,5646.312001
52,67,5648.609429
24,39,5649.993978
29,40,5651.414541
85,102,5655.125271
24,35,5656.324008
28,39,5657.691676
53,68,5660.023148
28,39,5661.412753
53,68,5663.7512
96,109,5667.503598
52,67,5669.793074
40,51,5671.608025
95,108,5675.289665
42,53,5677.127979
52,67,5679.463355
16,27,5680.350453
9,20,5681.090478
89,102,5684.612185
25,36,5685.867427
90,103,5689.464053
54,69,5691.835261
52,67,5694.19893
85,102,5697.728261
52,67,5700.056662
24,35,5701.323614
33,44,5702.855911
52,67,5705.122729
54,69,5707.519691
28,39,5708.880896
102,109,5712.717751
36,47,5714.289442
29,40,5715.682466
26,37,5717.055222
99,112,5720.937677
95,108,5724.649864
31,42,5726.099832
25,36,5727.372537
47,58,5729.403664
28,39,5730.704873
94,107,5734.441428
130,141,5739.357697
95,112,5743.173502
29,40,5744.589231
72,81,5747.426893
28,39,5748.761887
28,39,5750.174399
30,41,5751.603729
34,45,5753.220599
29,40,5754.650691
31,42,5756.068979
77,90,5759.225329
29,40,5760.649482
13,24,5761.526464
98,111,5765.320257
24,39,5766.735176
104,121,5770.926786
26,37,5772.262211
53,68,5774.650132
26,37,5776.000437
24,35,5777.252021
111,126,5781.651173
31,42,5783.162085
24,39,5784.4958
95,108,5788.232139
91,104,5791.87071
32,43,5793.385566
24,39,5794.825172
27,38,5796.129489
31,42,5797.66323
65,74,5800.440685
24,39,5801.883814
52,67,5804.272026
24,35,5805.581462
61,70,5808.01018
52,67,5810.432124
8,19,5811.125094
37,48,5812.846028
25,36,5814.097678
24,39,5815.371051
91,104,5819.032691
24,39,5820.412495
54,69,5822.738994
102,115,5826.713895
95,108,5830.497915
31,42,5832.012071
37,48,5833.705395
96,109,5837.474154
27,38,5838.772073
63,72,5841.304127
40,51,5843.094203
40,51,5844.86081
24,39,5846.254231
31,42,5847.752642
112,129,5852.246733
53,68,5854.593927
28,39,5855.951825
25,36,5857.215562
81,102,5860.775878
29,40,5862.219962
85,102,5865.681924
54,69,5868.049253
35,46,5869.708793
91,104,5873.352099
93,106,5876.940765
59,68,5879.37992
32,43,5880.980506
33,44,5882.575975
52,67,5884.960736
7,18,5885.613991
75,92,5888.864254
101,118,5893.088615
115,132,5897.644376
24,39,5899.079365
85,102,5902.571008
29,40,5903.993206
28,39,5905.357858
27,38,5906.689345
28,39,5908.093409
91,104,5911.731325
94,107,5915.329023
1,12,5915.778983
29,40,5917.175849
98,111,5921.045706
52,67,5923.300478
1,12,5923.766969
31,42,5925.258712
30,41,5926.690503
29,40,5928.079096
28,39,5929.488833
33,44,5930.99401
27,38,5932.28109
26,37,5933.668343
85,102,5937.305683
104,121,5941.405699
28,39,5942.762625
113,130,5947.257998
32,43,5948.731401
97,104,5952.392798
11,22,5953.241723
66,75,5955.815795
24,39,5957.205817
24,39,5958.594731
90,103,5962.144219
113,126,5966.464938
31,42,5968.0104
70,79,5970.794417
48,59,5972.791739
30,41,5974.30533
66,75,5976.896523
31,42,5978.452069
54,69,5980.901608
24,39,5982.345857
31,42,5983.814772
71,84,5986.797079
52,67,5989.134093
35,46,5990.835667
33,44,5992.437236
54,69,5994.85664
169,192,6001.482406
64,73,6004.024439
10,21,6004.755756
95,106,6008.458322
22,33,6009.617433
32,43,6011.116563
99,112,6015.084014
28,39,6016.519312
9,24,6017.367867
65,74,6019.825028
53,68,6022.224069
52,67,6024.61363
91,104,6028.200619
115,132,6032.779477
40,51,6034.619423
94,107,6038.287685
36,47,6039.922169
52,67,6042.261492
54,69,6044.699805
28,39,6046.145622
46,55,6048.095749
93,106,6051.640697
37,48,6053.375707
97,110,6057.278953
32,43,6058.738847
28,39,6060.096158
33,44,6061.656677
35,46,6063.328634
29,40,6064.782706
94,107,6068.463045
24,39,6069.856766
52,67,6072.231503
52,67,6074.586146
32,43,6076.072435
33,44,6077.66241
103,116,6081.698223
90,103,6085.355324
77,94,6088.709959
94,107,6092.494497
112,129,6097.030683
66,75,6099.625157
38,49,6101.441997
30,41,6102.952272
29,40,6104.382618
65,82,6107.252637
62,71,6109.831388
31,42,6111.45097
93,106,6115.19864
37,48,6116.955421
52,67,6119.267105
91,104,6122.905246
33,44,6124.494852
34,45,6126.073651
67,80,6128.89532
112,129,6133.44929
52,67,6135.742389
66,75,6138.303172
30,41,6139.77977
33,44,6141.359172
100,113,6145.348164
36,47,6147.006332
95,108,6150.674273
109,130,6155.366313
96,109,6159.190611
31,42,6160.617999
80,89,6163.764708
34,49,6165.492576
112,125,6169.861886
52,67,6172.231395
37,48,6173.915794
31,42,6175.378355
53,68,6177.750187
54,69,6180.182007
32,43,6181.616521
53,68,6184.07582
21,32,6185.173471
36,47,6186.855384
11,22,6187.724722
54,69,6190.217172
100,113,6194.183046
93,106,6197.890414
88,101,6201.378391
74,87,6204.491287
88,95,6207.746981
96,109,6211.636503
33,44,6213.160668
93,106,6216.954908
32,43,6218.465822
23,38,6219.794302
30,41,6221.380203
24,39,6222.752092
104,117,6226.859741
96,109,6230.649474
29,40,6232.029869
116,129,6236.531281
24,39,6237.942518
94,107,6241.756541
24,35,6242.922948
24,39,6244.326069
91,104,6247.97014
111,132,6252.490349
24,39,6253.880533
32,43,6255.425258
52,67,6257.781039
91,104,6261.375048
30,41,6262.882752
31,42,6264.3163
91,104,6267.941936
104,117,6272.045358
31,42,6273.577961
89,102,6277.075552
24,39,6278.491557
86,99,6282.000773
31,42,6283.432695
94,107,6287.232268
30,41,6288.688153
65,74,6291.328851
24,35,6292.650707
24,35,6293.898813
26,37,6295.298137
27,38,6296.644173
107,120,6300.820513
69,78,6303.62368
85,102,6307.162494
39,50,6309.018499
24,39,6310.372243
66,75,6313.131066
98,111,6317.190642
115,132,6321.926676
25,36,6323.230501
145,164,6329.041525
31,42,6330.53825
29,40,6331.999855
25,36,6333.250559
97,110,6337.227036
100,113,6341.27186
24,35,6342.548796
114,131,6347.191498
101,114,6351.198436
100,113,6355.196552
94,107,6359.036181
93,102,6362.774364
33,44,6364.362598
28,39,6365.715778
156,171,6371.770722
40,51,6373.555792
31,42,6375.042494
27,38,6376.445551
89,102,6379.995924
24,35,6381.259874
95,108,6385.096399
33,44,6386.647363
31,46,6388.306549
95,108,6392.002439
39,50,6393.715784
82,95,6397.061114
49,60,6399.14542
107,120,6403.305476
105,118,6407.420112
114,121,6411.673919
28,39,6412.984467
29,40,6414.339217
81,94,6417.720474
40,51,6419.569208
65,74,6422.109246
53,68,6424.470284
25,36,6425.777689
24,39,6427.197344
31,42,6428.631397
31,42,6430.169989
54,69,6432.549616
104,121,6436.731915
54,69,6439.208061
85,98,6442.483262
36,47,6444.161399
29,40,6445.632578
95,108,6449.421644
65,74,6451.954691
34,45,6453.621165
90,103,6457.238988
66,75,6459.858509
53,68,6462.240482
31,42,6463.771716
60,69,6466.188715
96,109,6469.976334
90,103,6473.51082
52,67,6475.962957
90,103,6479.541489
94,107,6483.154728
52,67,6485.489582
24,35,6486.761291
52,67,6489.103162
99,112,6493.05933
52,67,6495.454453
27,38,6496.838789
34,49,6498.578311
81,98,6501.999277
109,122,6506.287823
59,68,6508.718532
25,36,6509.96736
25,36,6511.248335
95,108,6515.024338
52,67,6517.413919
52,67,6519.736337
52,67,6522.108883
91,104,6525.746974
34,45,6527.390595
60,69,6529.834651
216,237,6538.016742
53,68,6540.376671
97,110,6544.188274
90,103,6547.82646
65,74,6550.443604
31,42,6551.893487
89,102,6555.571235
92,105,6559.230197
65,74,6561.778562
30,41,6563.277095
25,36,6564.564443
94,107,6568.21304
60,69,6570.602613
25,36,6571.890479
92,105,6575.543717
24,39,6576.981537
52,67,6579.286211
93,106,6582.947272
29,40,6584.418974
72,85,6587.424608
111,124,6591.837332
90,103,6595.516981
57,66,6597.861264
95,108,6601.716428
92,105,6605.503729
75,92,6608.69062
99,112,6612.583717
98,111,6616.423414
93,106,6620.132248
91,112,6624.055566
28,39,6625.492926
236,253,6634.289409
54,69,6636.673487
26,37,6637.948017
25,36,6639.30201
25,36,6640.559131
52,67,6642.875447
114,131,6647.467006
35,46,6649.049495
93,106,6652.793059
54,69,6655.191524
26,37,6656.472083
45,54,6658.416317
107,120,6662.605265
229,246,6671.057977
39,50,6672.807439
98,105,6676.50873
8,19,6677.232424
41,52,6678.9986
94,107,6682.766966
28,39,6684.136567
34,49,6685.880139
27,38,6687.199094
115,128,6691.704055
118,131,6696.270491
100,107,6700.099613
61,70,6702.52252
52,67,6704.906552
108,121,6709.147089
59,68,6711.498353
95,108,6715.214877
24,39,6716.650565
24,39,6718.070122
94,107,6721.815318
26,37,6723.179504
43,54,6725.034969
25,36,6726.345859
53,68,6728.727894
25,36,6730.00454
93,110,6733.944414
25,36,6735.259434
26,37,6736.538757
92,105,6740.272132
58,67,6742.63276
25,36,6743.941173
27,38,6745.24984
66,75,6747.87858
106,119,6752.052211
91,104,6755.653107
66,75,6758.323923
87,100,6761.703733
53,68,6764.115453
109,122,6768.456407
84,97,6771.847074
6,17,6772.520333
60,69,6774.928455
10,21,6775.717993
123,134,6780.430009
229,246,6788.983732
25,36,6790.304161
24,39,6791.761105
59,68,6794.16041
95,108,6797.871821
91,104,6801.522639
95,112,6805.4614
101,108,6809.681189
52,67,6812.24604
91,104,6816.041194
113,130,6820.821953
96,113,6825.014864
1,12,6825.485475
99,112,6829.4258
61,70,6832.011908
127,138,6836.929558
108,129,6841.508158
69,82,6844.384214
53,68,6846.951418
17,28,6847.957764
115,132,6852.588374
60,69,6854.995092
90,103,6858.522932
25,36,6859.761163
65,74,6862.312865
65,74,6864.839118
88,101,6868.390334
96,109,6872.093264
107,124,6876.347653
29,40,6877.727282
106,127,6882.028871
89,102,6885.556701
233,250,6894.041147
54,69,6896.452827
40,51,6898.182459
89,102,6901.747269
95,108,6905.441839
97,110,6909.189685
22,33,6910.406179
54,69,6912.715226
97,110,6916.447877
94,107,6920.081936
24,39,6921.491703
19,30,6922.570524
139,144,6927.404628
118,131,6932.016623
54,69,6934.382975
103,112,6938.156066
100,113,6942.053882
53,68,6944.388597
24,39,6945.735807
115,132,6950.314958
12,23,6951.113607
54,69,6953.451996
85,102,6956.952235
93,106,6960.574352
62,71,6963.063614
115,132,6967.592541
32,43,6969.177153
54,67,6971.491995
58,67,6973.774787
98,111,6977.592442
85,102,6981.166652
54,69,6983.507557
12,23,6984.361903
20,31,6985.403585
58,67,6987.773141
85,102,6991.343224
40,51,6993.03945
52,67,6995.315913
42,51,6997.136579
25,36,6998.375908
9,20,6999.113793
87,100,7002.555801
86,93,7005.746846
42,53,7007.520856
40,51,7009.323502
9,20,7010.032729
64,77,7012.686969
31,42,7014.187485
104,117,7018.206973
99,112,7021.999681
85,102,7025.578445
171,184,7031.820151
185,200,7038.688469
42,53,7040.527309
25,36,7041.754874
24,39,7043.116276
100,113,7046.923321
57,66,7049.218256
68,81,7052.142059
10,21,7052.83759
34,49,7054.531572
67,80,7057.289005
31,42,7058.825313
87,100,7062.225432
92,105,7065.778724
52,67,7068.136056
105,120,7072.375966
74,87,7075.352694
111,128,7079.743442
114,131,7084.198429
89,102,7087.769823
99,112,7091.549269
28,39,7092.831076
32,43,7094.372228
91,104,7097.918315
89,102,7101.50937
25,36,7102.771711
52,67,7105.021832
30,41,7106.484152
110,121,7110.624344
56,65,7112.866462
11,22,7113.670962
13,24,7114.550462
115,128,7119.011771
92,105,7122.581342
111,124,7126.821522
78,91,7130.034546
66,79,7132.688562
60,69,7135.141712
10,21,7135.87539
101,114,7139.809839
115,132,7144.267519
113,130,7148.773715
48,57,7150.823678
93,106,7154.591624
89,102,7158.029915
24,39,7159.374196
59,68,7161.699567
115,132,7166.285915
57,66,7168.555021
31,42,7170.037267
93,106,7173.646595
38,49,7175.409493
117,126,7179.718907
79,92,7182.872108
17,28,7183.848875
82,95,7187.13679
89,102,7190.660671
53,68,7193.022063
39,50,7194.769595
53,68,7197.187067
37,48,7198.821727
39,50,7200.534786
63,76,7203.133836
13,28,7204.109518
110,123,7208.337224
8,19,7209.063983
93,106,7212.698299
111,122,7217.028079
56,65,7219.256499
97,110,7223.103536
25,36,7224.31705
34,45,7225.910786
113,130,7230.298691
25,36,7231.534187
1,12,7231.96565
92,105,7235.596799
108,121,7239.714569
25,36,7240.94646
27,38,7242.273197
10,21,7243.110195
91,102,7246.624489
93,102,7250.21034
89,102,7253.700078
24,35,7255.000089
94,107,7258.627109
118,131,7263.029409
72,85,7266.046103
55,64,7268.271688
52,67,7270.532354
9,20,7271.247944
99,106,7274.894178
93,106,7278.527363
89,100,7281.946188
90,103,7285.548013
25,36,7286.789384
26,37,7288.095287
24,35,7289.366727
61,74,7292.049034
93,106,7295.711033
201,214,7303.075756
108,121,7307.240946
90,103,7310.749046
101,114,7314.569222
65,74,7317.181898
24,35,7318.352694
24,35,7319.609132
1,12,7320.058911
94,107,7323.819125
112,129,7328.21545
93,106,7331.889988
100,113,7335.678495
26,37,7336.988128
72,85,7339.933263
211,228,7347.657752
52,67,7349.978567
98,111,7353.885917
24,39,7355.245278
25,36,7356.508355
56,65,7358.678941
112,129,7363.041669
82,99,7366.499051
9,20,7367.247039
57,66,7369.507564
119,130,7373.972555
89,102,7377.486179
110,121,7381.703822
79,88,7384.722783
53,68,7387.165967
70,83,7389.961287
109,120,7393.991783
53,68,7396.320736
40,51,7398.06883
24,35,7399.323302
8,19,7400.013504
31,42,7401.406282
53,68,7403.763518
97,110,7407.57233
98,115,7411.385186
52,67,7413.695515
108,121,7417.798599
25,36,7419.034948
94,107,7422.920787
99,112,7426.803071
38,49,7428.566002
19,30,7429.713295
97,110,7433.587924
107,124,7437.9405
25,36,7439.230858
1,12,7439.687196
99,112,7443.54509
98,111,7447.505218
25,36,7448.809971
31,42,7450.308928
24,35,7451.490742
113,130,7456.004301
65,74,7458.628317
86,99,7462.149145
112,129,7466.582844
25,36,7467.815701
69,82,7470.630762
115,132,7475.208472
24,35,7476.410918
85,102,7479.839524
25,36,7481.143652
35,44,7482.690017
24,39,7484.067896
89,102,7487.55058
24,35,7488.780247
109,122,7493.028301
109,126,7497.286566
10,21,7497.999158
11,22,7498.823848
39,50,7500.545808
1,12,7501.002439
111,122,7505.186049
100,113,7509.074921
70,79,7511.771561
41,50,7513.53992
43,56,7515.573705
50,63,7517.813777
66,75,7520.389685
85,102,7523.809258
